pair_name,pair_symbol,pair_address,pair_decimal,asset_symbol,asset_address,asset_decimal,collateral_symbol,collateral_address,collateral_decimal
USDT/SUSHI,kmSUSHI/USDT-LINK,0x1588b61f538bb03027a23a18d74f46e06a7af126,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
USDT/DAI,kmDAI/USDT-LINK,0x711c3d57c6d51cfbe758615cf3b98ddf2ce6191e,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
LINK/DAI,kmDAI/LINK-LINK,0x34ce9439bcace3765fa0342e38eb54a0291e716f,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
USDT/MKR,kmMKR/USDT-LINK,0xd26332dc3450d458e9fc35b120a8398120bf384f,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,MKR,0x6f7c932e7684666c9fd1d44527765433e01ff61d,18
USDT/WBTC,kmWBTC/USDT-LINK,0x7474cb79dec3132763a3196942b27676adb3b0f3,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
USDT/WBTC,kmWBTC/USDT-LINK,0x0e55c1d982b65c489f699720133de8f83f4adc3b,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
WMATIC/SNX,kmSNX/WMATIC-LINK,0x50b44698b5ca5ef64a2a8782869486dad5698196,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,SNX,0x50b728d8d964fd00c2d0aad81718b71311fef68a,18
WMATIC/UNI,kmUNI/WMATIC-LINK,0xda6574d0b8d76ae1732a6380ef98996f2fb9c753,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18
WMATIC/LINK,kmLINK/WMATIC-LINK,0x8d4f6d8d620e89ad178544c8a64ceb41527e97a6,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18
WMATIC/AAVE,kmAAVE/WMATIC-LINK,0xee32394fd68a64b875e324dc285ef8975b06d271,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
WMATIC/JPYC,kmJPYC/WMATIC-LINK,0xa58aa3fa440ba17fb38957425dc130e727da0db4,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,JPYC,0x6ae7dfc73e0dde2aa99ac063dcf7e8a63265108c,18
WMATIC/WMATIC,kmWMATIC/WMATIC-LINK,0x4e966acb88205c1782001fe9dc75995ae31e8770,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
WMATIC/WETH,kmWETH/WMATIC-LINK,0x430f9657a42e221ccceba2b3ea072bd09d0c68c3,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
LINK/WETH,kmWETH/LINK-LINK,0x59035ff35d7c1d7fa204297dca2cc8c8b3f36dcb,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
LINK/WMATIC,kmWMATIC/LINK-LINK,0xc1680abd6b4b3f87128d85deaee2f31442e408f3,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
WETH/JPYC,kmJPYC/WETH-LINK,0x1431587bcedaf46a68d11ab20a0f2a8a6ec50aab,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,JPYC,0x6ae7dfc73e0dde2aa99ac063dcf7e8a63265108c,18
DAI/UNI,kmUNI/DAI-LINK,0x86203f5764f8ecad0c5ac53439ba06f20f4f75f4,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18
WETH/WMATIC,kmWMATIC/WETH-LINK,0x774fdc7150e445e15f28a2245eb1310ff842e07b,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
WETH/WBTC,kmWBTC/WETH-LINK,0xc7767032a4bdb48d5f1e054b382a5f40129864eb,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
USDC/YFI,kmYFII/USDC-LINK,0xc3164c564aad41b42e16ea532b2f2a9dacf0b4b6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,YFI,0xb8cb8a7f4c2885c03e57e973c74827909fdc2032,18
USDC/CEL,kmCEL/USDC-LINK,0xedc8e1bf33f7f0a5699b7adae5d781cca92d945c,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,CEL,0xd85d1e945766fea5eda9103f918bd915fbca63e6,4
USDC/BOND,kmBOND/USDC-LINK,0x7fbe8d1a3dce157e1f3204106487780e58b7c495,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,BOND,0xa041544fe2be56cce31ebb69102b965e06aace80,18
USDC/LINK,kmLINK/USDC-LINK,0x62f32ee7d77273c6ecd55e510881b512f02a4577,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18
USDC/polyFXS,kmFXS/USDC-LINK,0xbb695e3f13e7caf0d358eec35b5c9c36677ea493,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,polyFXS,0x3e121107f6f22da4911079845a470757af4e1a1b,18
USDC/MKR,kmMKR/USDC-LINK,0x0b234bdd66a85a29866678c3e92c4be77da18426,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,MKR,0x6f7c932e7684666c9fd1d44527765433e01ff61d,18
USDC/WBTC,kmWBTC/USDC-LINK,0xff6f5ae9addffc4e7353db5695131760c54edde7,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
DAI/YFI,kmYFII/DAI-LINK,0x878006b26cecfa0abaf46ca786b20aa51c8b28f1,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,YFI,0xb8cb8a7f4c2885c03e57e973c74827909fdc2032,18
