pair_name,pair_symbol,pair_address,pair_decimal,asset_symbol,asset_address,asset_decimal,collateral_symbol,collateral_address,collateral_decimal
polyFXS/USDC,kmUSDC/FXS-LINK,0xcfb46f44fe66e10d79f3cfcb427f456a114f5cb7,18,polyFXS,0x3e121107f6f22da4911079845a470757af4e1a1b,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
SUSHI/SNX,kmSNX/SUSHI-LINK,0x7b2ddb642387eb1b83774ad3845369106e7ba8e8,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,SNX,0x50b728d8d964fd00c2d0aad81718b71311fef68a,18
polyFXS/WMATIC,kmWMATIC/FXS-LINK,0x64f0d2f181d9acb69a5f9f7c5de875e7e7a56a3b,18,polyFXS,0x3e121107f6f22da4911079845a470757af4e1a1b,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
SNX/USDC,kmUSDC/SNX-LINK,0xe19d1f6d831c47b495c6f85ca918a71b4b1e74d4,18,SNX,0x50b728d8d964fd00c2d0aad81718b71311fef68a,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
polyFXS/USDT,kmUSDT/FXS-LINK,0x1d7927a5e030b44c93df585e6b45945fc206f62a,18,polyFXS,0x3e121107f6f22da4911079845a470757af4e1a1b,18,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
CEL/WMATIC,kmWMATIC/CEL-LINK,0x339636e9cc2ec25014478c9e6813064de8b82016,4,CEL,0xd85d1e945766fea5eda9103f918bd915fbca63e6,4,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
SUSHI/BOND,kmBOND/SUSHI-LINK,0x77c57c882c4ad663bd651e83e46be0dc6eae1fe4,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,BOND,0xa041544fe2be56cce31ebb69102b965e06aace80,18
CEL/DAI,kmDAI/CEL-LINK,0x4037817a357844961d747f5257c1fc028bbc25f1,4,CEL,0xd85d1e945766fea5eda9103f918bd915fbca63e6,4,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
MKR/AAVE,kmAAVE/MKR-LINK,0x1f455a99c3569fd959678fd24d3eb5f289890f84,18,MKR,0x6f7c932e7684666c9fd1d44527765433e01ff61d,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
SUSHI/USDT,kmUSDT/SUSHI-LINK,0x9f17b012b633a170bd9bc003b0a015e4f5ca2f91,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
YFI/WMATIC,kmWMATIC/YFII-LINK,0x6b3c89cb85a5f9f5ddeeedab2c0aa07d175d657e,18,YFI,0xb8cb8a7f4c2885c03e57e973c74827909fdc2032,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
AAVE/USDT,kmUSDT/AAVE-LINK,0x46d6f23299c619c3e472e0c113a65d5f1e036a7f,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
AAVE/DAI,kmDAI/AAVE-LINK,0x1f3f5da521f9a88cad77f224d2a8074908c84ea2,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
WBTC/DAI,kmDAI/WBTC-LINK,0x5ce16b506d7581aa5d43b7087c1c7ff837379114,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
YFI/WETH,kmWETH/YFII-LINK,0xc8c834ea65048b0b16926799f4c068fe62bab55c,18,YFI,0xb8cb8a7f4c2885c03e57e973c74827909fdc2032,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
UNI/WMATIC,kmWMATIC/UNI-LINK,0x0f351ea03ee0fff0d3e8bdf2d4cf3f7245e4529e,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
UNI/DAI,kmDAI/UNI-LINK,0xdb55c5c70e51078fd837b1440b5884bad26017c6,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
MKR/USDC,kmUSDC/MKR-LINK,0xa89c710cdbdc8f37e2c3a33989be95d35e3449ed,18,MKR,0x6f7c932e7684666c9fd1d44527765433e01ff61d,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
UNI/USDC,kmUSDC/UNI-LINK,0xc8c5e20ec0cb330537217b3417f092b38e2c6e34,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
UNI/WETH,kmWETH/UNI-LINK,0x73f294bfbb28d8666243f6ecc4d8565008a66d2a,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
WBTC/BOND,kmBOND/WBTC-LINK,0x3b6e94c18c1a6c0563013727c2d8af8843150af0,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,BOND,0xa041544fe2be56cce31ebb69102b965e06aace80,18
WBTC/USDT,kmUSDT/WBTC-LINK,0x2c5e93be5e683c785964679101b882d48e4b5df5,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
WBTC/SUSHI,kmSUSHI/WBTC-LINK,0xd6186176b1144bafe7398931333ab8a06de08e56,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
WBTC/WMATIC,kmWMATIC/WBTC-LINK,0x21ef08b98fa22d8af364222d27a18662b68e01c4,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
WBTC/USDC,kmUSDC/WBTC-LINK,0xaf8ced1d35c9dc401b4c3634da5a7d3611d9bce6,8,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
