pair_address,pair_name,liquidity,tokens_0_name,tokens_0_address,tokens_1_name,tokens_1_address
0x11dadd62bdc87171d7960ec28f1e6e0c8e454ee8,ASIA-WETH,185.17,ASIA,0x50bcbc40306230713239ae1bddd5eefeeaa273dc,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0xbb722b7748638efcc059a312c6fc2925e195aa59,WETH-SLP,178.31,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,SLP,0xc48ae82ca34c63887b975f20aba91a38f2a900b8
0x8f4d21c36f593fe82d797354a24073c866815976,GFC-WMATIC,178.12,GFC,0x071ac29d569a47ebffb9e57517f855cb577dcc4c,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0xef63779c9bf3c9569da711e4572adf1093e446f7,EBC-USDT,176.15,EBC,0x2f82c5e183dc165115da32d6b46b88fe411f22f7,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0x6dbac975a4f91e65800569ec2e813bdb35e4d99f,USDT-DHC,152.16,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,DHC,0xf9c1f70f9bf57fad5f63c6e1e25c2e895f04c0a6
0x2709f8f20749d885a4fdf271a542323e1e3e23ae,USDC-Kool,145.43,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,Kool,0x60ae376add09cafd393577173f643f6adb00c898
0x356ce197b043378f90a9d2c26fd542bf91bc8ed6,WMATIC-DATA,125.79,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,DATA,0x1d607faa0a51518a7728580c238d912747e71f7a
0x48356c2ebca8c541ebb999bbdea96e3119e92401,USDT-GTON,119.09,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,GTON,0xf480f38c366daac4305dc484b2ad7a496ff00cea
0x647eca4fddd45f1b3429ac253db57c709d7a51f5,WMATIC-ETH2x-FLI-P,118.21,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,ETH2x-FLI-P,0x3ad707da309f3845cd602059901e39c4dcd66473
0xd7ed09f5766b7fa19977ca547beb7caa7b3f1a12,AURUM-MHP,109.55,AURUM,0x34d4ab47bee066f361fa52d792e69ac7bd05ee23,MHP,0x919b22450c38108bb624c4c72b085cd7c0442b80
0xc6dc2354c8f47fedfda754940a7dab5a6025fd69,WETH-XIAZ2,105.35,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,XIAZ2,0xef3af9dfea19dd9892ae6c57be973fb390991530
0x8cf0acaa35d584fea0784e1c44293a4576819923,LORB-WETH,103.81,LORB,0x5c173a51468694c0114aad0c14cbea350f40c33e,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x9e4ef772a42ef7b96505b226fca4a85ecb18530f,USDC-HUNJ,100.34,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,HUNJ,0xd578187a60efb690493d5f32dd0e9127fc6245b9
0x0654ce3265203f8b9ba9d13e31059c31cf13544b,USDC-BABYQUICK,97.78,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,BABYQUICK,0x9a05d1ff699ea187dc8523e333ed63503f0d82db
0x249ca7f9cf4ad3d46468cc37e0d4590c1ef6e1a2,USDC-RAIDER,95.62,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,RAIDER,0xcd7361ac3307d1c5a46b63086a90742ff44c63b3
0xa34ec05da1e4287fa351c74469189345990a3f0c,USDC-STG,95.56,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,STG,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590
0x1106acea01a91d8ecfacd8d70c72683b4457b5b7,WETH-XBBX,94.38,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,XBBX,0xec79b78bcedf3c4b6d12c27ba6d092ad178b5b30
0xfc7be53ec436c823b2523436a0ab5a7a925a58bf,DAI-TWEET,91.65,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,TWEET,0xbab63b0a21473fb8e73f5e95df5ae0ba530c6e6e
0x01cc2f010ad6fcd90d524e979f37858663a2cada,USDC-pHIVE,87.12,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,pHIVE,0xb8407211a6e89c34ddea4774e1c3c557f6b26e27
0x50a7e903627acbcaf018b198b2ec738bfab848bf,WMATIC-LUXY,82.89,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,LUXY,0xd4945a3d0de9923035521687d4bf18cc9b0c7c2a
0x3986bbf1b7b9ae8dd3eb5c6f2537b0776d005a54,USDC-CK1,78.47,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,CK1,0x6dea2667d300debad02914ec4cf48d65182f029f
0x4aada77b9250dc0cc3b1ad07315bde28ecffb518,BCT-GTON,77.31,BCT,0x2f800db0fdb5223b3c3f354886d907a671414a7f,GTON,0xf480f38c366daac4305dc484b2ad7a496ff00cea
0x11431bcc55c878db0445dc2d23ee8962874c2b82,AURUM-SPOREBARK,76.05,AURUM,0x34d4ab47bee066f361fa52d792e69ac7bd05ee23,SPOREBARK,0xe0df35dd951aea2edb96eae88e7e0652a1729acc
0x35c1e81f9d379f9c5dccf04a3eeb07ad2e17e072,BCT-RVRS,74.31,BCT,0x2f800db0fdb5223b3c3f354886d907a671414a7f,RVRS,0x5dd175a4242afe19e5c1051d8cd13fc8979f2329
0x66fbb20de3ae50d0a0a1685204bb12966aa58f9c,MEVG-DAI,70.24,MEVG,0x74d727e735fc38e5eaba18d96eeb1139b0de3cb4,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
0x47d8368dcfb5f5c497f836ba1a364cb104d7c8bb,USDC-FID,69.62,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,FID,0x9a4eb698e5de3d3df0a68f681789072de1e50222
0xa9085ef7343617a50a6af6c18f25e6f38063b4ae,808TA-USDT,67.73,808TA,0x2e502bf17e29fe9d59f616501a1d189e93fc676f,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0xd58c04e3be14c7765aff5d2be08d71f9444537b1,USDC-FBX,65.82,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,FBX,0xd125443f38a69d776177c2b9c041f462936f8218
0xb51f546a5ed369f2a3fdf175b74e385dea67ccf6,WETH-ENS,63.14,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,ENS,0xbd7a5cf51d22930b8b3df6d834f9bcef90ee7c4f
0xd6323fa06af83b99c7b5b92b7a1d56111183c697,WETH-HGH,61.41,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,HGH,0xe97a60f5d34da4f68bc1f1b9ce2c19ec1a33e928
0x8065f7844450ee73d91a33e325dbc85633171631,USDC-GROW,60.83,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,GROW,0x3697c1bdee2ce80dc845022f5938007a101dd7a8
0x33ce2f3762705ceb9f7d2489a42819f74695a6c1,t7-DAI,57.31,t7,0x74f2fde099061460ead6c04a6b374cb739d2141e,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
0xea178a754544038b0b5a6eb393b6eb9545fa3adc,RVRS-NCT,56.70,RVRS,0x5dd175a4242afe19e5c1051d8cd13fc8979f2329,NCT,0xd838290e877e0188a4a44700463419ed96c16107
0x1607fc872e20692b9e51fa73ebc836c1608d6e9c,WMATIC-KLIMA,54.41,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,KLIMA,0x4e78011ce80ee02d2c3e649fb657e45898257815
0x537eb361bc589f2854bd937e3a482543d6654301,USDC-pHIVE,54.20,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,pHIVE,0x456320e9b87a7c84a53b8ab300067f3a29aab301
0x408c8829adc5b0c0802556cf4a3d2024e4ab0873,ALIENO-USDT,53.11,ALIENO,0x2447603cb3eb35ae5e07b085813a71ba35cb131d,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0xf5826f14a5be2d32d9d9fbdf1b0a00c95ec32f05,USDC-REM,51.01,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,REM,0xce2157a66af0e1fb5c348390d4c732f233e729c7
0x6e957a7f712cac8f73d655569c6f4ff00599b933,USDC-MegaDoge,48.75,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,MegaDoge,0xcbf4ab00b6aa19b4d5d29c7c3508b393a1c01fe3
0x7c9b16d845fe163f464d265193cc2b4ee3fac326,GURU-DAI,48.50,GURU,0x057e0bd9b797f9eeeb8307b35dbc8c12e534c41e,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
0xd27dea2ff5d10a26f8b33b60bab95c3d279df378,TNGBL-USDC,42.24,TNGBL,0x05d71db24f436e40d4bcb54724dc458eb641c2f1,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174
0x8fb50a1db256ec6c24663dc871d12ec3933e2d29,LLFUND-WETH,40.76,LLFUND,0x0650c6e62e6003dc5d271f275d4bfd7c9fd8df0e,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x91dcbc42b4a509aebf9275259f702e8ce30b33a2,BNB-WETH,40.59,BNB,0x5c4b7ccbf908e64f32e12c6650ec0c96d717f03f,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x10693509b4bc2871aa171cebc8f41e8e19c604d2,WMATIC-AXN,40.32,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,AXN,0x839f1a22a59eaaf26c85958712ab32f80fea23d9
0x90c86f6de58900c8ca8c48b26e6b10879ee9183e,808TA-WETH,39.49,808TA,0x2e502bf17e29fe9d59f616501a1d189e93fc676f,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0xac84fd48595fa031c26bdd0eb220b952c26febbc,WETH-SLP,39.06,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,SLP,0x85de135ff062df790a5f20b79120f17d3da63b2d
0x3cc2e9da8bf41cfd6e22839dd8f7ae65bd83e759,WETH-GIF,38.41,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,GIF,0xb7bdeb0fa068328897e2ad171c9d668530200dfe
0x779e3073cf645cde6d6957285af7bea7c2715c0e,SAMPO-USDT,37.99,SAMPO,0x6ef9da0d18f7eaee738c5f4ac727c3f4999581a6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0x47f47ad137722a4e88a8bbfc60a60c73dbb19da1,USDC-APE,36.46,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,APE,0x924c1120c53572b2ea95720cc8b5cc42614ef2ef
0x596f87a8d7d26b0f6466b771b148b81c43b354b9,USDT-DAI,36.01,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,DAI,0xca02aef9e954e97efdbbb5a8a372cc308b656c40
0x5dd1a6b0c4db57f7e53dcc4549e46fbf2bc52290,SAMPO-WETH,32.49,SAMPO,0x6ef9da0d18f7eaee738c5f4ac727c3f4999581a6,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0xfaf56324d7ebb7595240153a320ffcb6d0858815,WMATIC-RBLS,31.49,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,RBLS,0xe26cda27c13f4f87cffc2f437c5900b27ebb5bbb
0x11a83070d6f41ebe3764e4efed7df9b9d20a03fa,WETH-BANK,30.43,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,BANK,0xdb7cb471dd0b49b29cab4a1c14d070f27216a0ab
0x094bf14de2bab0544524f5f2a18f97f87e88b9f0,EAUSD-USDT,29.64,EAUSD,0x122a972ee66d139c5074e0c410defe2c05f300da,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0xff4f0897f3bf329a1fcbe71cf9679d5b17993b9d,MM-WETH,27.96,MM,0x5647fe4281f8f6f01e84bce775ad4b828a7b8927,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x2829a88c0e7c4d3c42408ed6ce14e2c77f67e593,WETH-MegaDoge,25.22,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,MegaDoge,0xcbf4ab00b6aa19b4d5d29c7c3508b393a1c01fe3
0x32ee903fcddfcc2cf3f2ddce79a6903b1ea6a2aa,WMATIC-USV,23.67,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,USV,0xac63686230f64bdeaf086fe6764085453ab3023f
0x416bf51f0e147563bcb667e57376687a411d8eff,DAI-GURU,22.80,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,GURU,0xdded32f03bfe6b8b0013415eb2758a64ea6c765e
0xeed1adce8bc810b81f59c09dd7573d37ad3956a2,USDC-MUSH,22.58,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,MUSH,0x93c55afcbb82594f7446537e4071fc6439e14f2a
0xa47dca40922614eae58a393628354033212fc33f,NFD-WETH,22.11,NFD,0x0a5926027d407222f8fe20f24cb16e103f617046,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x4164da214dfca457b13d0259944c7eb48b7888d3,USDC-ECX,21.40,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,ECX,0x90b9597bbfdcbc86253d27d6b9a13079c5155f9f
0x4cb6fd3f9b29ea403cbc4e11b5703e66e1c7b35b,USDC-BLANK,20.68,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,BLANK,0xf4c83080e80ae530d6f8180572cbbf1ac9d5d435
0x2a51c9b1cca30fb0b570599dc170a2ebc269cc7d,USDC-KRL,20.58,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,KRL,0xc17b109e146934d36c33e55fade9cbda791b0366
0x7d5b4f21b7f747388d9c4cf711c052cbddd0da6a,USDT-CQTF,20.54,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,CQTF,0xccbba38e41d5428fd82cf42efe5385aef6f80826
0x92475eba8ea6f242c2cb757d6a39a531f9cf3317,USDC-MM,20.01,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,MM,0x5647fe4281f8f6f01e84bce775ad4b828a7b8927
0xeb382297e966d68b9c81a41cbf5244d0fdcbc784,USDC-PROD,20.00,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,PROD,0x4d4c268264901b4f20da9e8dd7762fe250f7c23e
0x1e652a4ea7c10536c2560ec38c67e466c829b721,USDC-Euro,19.98,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,Euro,0xb763b8bbf3074078120fb56e5be5c4eecc63fe6d
0x4d580446ebc6111b2b707bbadc8eb551e76dd81c,P3N-USDT,19.89,P3N,0x40d03a16fd11e03ecaebd7c81fe3d5285a826153,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0x02ae6a30e67f334cf645622406b131cb135c1147,USDC-SGO,19.26,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,SGO,0xa967625eb982573d1ee72e5ce47b017520e16291
0x2ddee40f6c1770fb228672f2df980a0d8607e375,USDC-EVG,18.96,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,EVG,0xc30f68091fb72469b0e0481e2551aa5e759d6271
0x0c07853a29e97253f274837830bed12849aec8e7,SKY-USDC,18.24,SKY,0x02180d251eee44f9d9182c7308f9774f61ed172c,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174
