kashi_pair,pair_address,asset,asset_address,collateral,collateral_address
kmWMATIC/WBTC-LINK,0x21ef08b98fa22d8af364222d27a18662b68e01c4,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmSUSHI/WBTC-LINK,0xd6186176b1144bafe7398931333ab8a06de08e56,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmUSDT/USDC-LINK,0x740c0d2de97c8a01ec8d25dbfe04cce12966ec69,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c
kmLINK/USDC-LINK,0x62f32ee7d77273c6ecd55e510881b512f02a4577,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
kmWBTC/WMATIC-LINK,0x43e947fc7f95686aa2989e1aac82edc5040527aa,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063
kmUSDT/SUSHI-LINK,0x9f17b012b633a170bd9bc003b0a015e4f5ca2f91,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c
kmUNI/WMATIC-LINK,0xda6574d0b8d76ae1732a6380ef98996f2fb9c753,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,UNI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
kmDAI/LINK-LINK,0x34ce9439bcace3765fa0342e38eb54a0291e716f,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmSUSHI/USDC-LINK,0x6698198bafbeba0ebb4cbc2d762359d01c028b03,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmUSDC/WBTC-LINK,0x5f779e9631c17163a7ce6b9d0598388d5b646c0b,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmUNI/DAI-LINK,0x86203f5764f8ecad0c5ac53439ba06f20f4f75f4,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,UNI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
kmWETH/WMATIC-LINK,0x430f9657a42e221ccceba2b3ea072bd09d0c68c3,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmSUSHI/DAI-LINK,0xa916dd0135f2299e1c34455fb984f00a44f70665,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmAAVE/WMATIC-LINK,0xee32394fd68a64b875e324dc285ef8975b06d271,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6
kmWMATIC/USDT-LINK,0x97d7c8ad06d08635358a35e9862adbe2727c2340,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmAAVE/WETH-LINK,0xd4d7b4ec7bf17ab014883a16beef7780b4481725,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6
kmUSDC/AAVE-LINK,0xc3c4cffb047205780fa0805923e244e86de69532,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmUSDC/BOND-LINK,0x125134eb200bf042bc9bb7a9fda66409e676c111,BOND,0xBbba073C31bF03b8ACf7c28EF0738DeCF3695683,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmWMATIC/USDC-LINK,0xe4b3c431e29b15978556f55b2cd046be614f558d,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmUSDC/JPYC-LINK,0x70fcf93cd29fe41205940277afd8bcd4fff0cf24,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmWBTC/USDC-LINK,0x684575df2d01523fafcbf6768a4549d4309c7ea6,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063
kmWETH/USDT-LINK,0xef7f30c8f0763b83d8779fb90df99cb5e70425e8,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmUSDC/SUSHI-LINK,0x558f727304a7a387fa2b5404f9ab0472ab0c2f4a,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmJPYC/USDC-LINK,0x74c13e9bedef084e2a5e40bed7c5ef904963a5f2,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E
kmUNI/AAVE-LINK,0x487ca82a64ac910c2b43c0ede165237be709b68b,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6,UNI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
kmDAI/WMATIC-LINK,0xdaa8c0fae87dfc3a961eb569d0e6a6615d441a18,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmrenDOGE/WMATIC-LINK,0xfa9bb92f96715a8b2cbc21d23f0a106c1dd00099,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,renDOGE,0xA041544fe2BE56CCe31Ebb69102B965E06aacE80
kmUSDC/UNI-LINK,0xc8c5e20ec0cb330537217b3417f092b38e2c6e34,UNI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmWMATIC/WETH-LINK,0x774fdc7150e445e15f28a2245eb1310ff842e07b,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmWETH/SUSHI-LINK,0x63a33397916fa3582536d1cbf50f52298e860cbf,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmBZRX/USDC-LINK,0x511c2b12d3df15ed7f69242652bdc0b9c8ff48f7,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,BZRX,0x6f7C932e7684666C9fd1d44527765433e01fF61d
kmUSDC/WBTC-LINK,0xaf8ced1d35c9dc401b4c3634da5a7d3611d9bce6,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmWETH/AAVE-LINK,0x09c3881351b48032f9cc6b2d1b2a07ade4d031bb,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmSUSHI/WETH-LINK,0x2b17c2482d084474d366a76176240322c1a29f85,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmUSDT/WMATIC-LINK,0x836957bae9f5d0179b18dfa918a2bd2418b5b5d4,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c
kmWETH/DAI-LINK,0x12d7906b1c9a2e0f73d251bafdbd369fed6f8c64,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmUSDT/LINK-LINK,0x36423cc3a9c01d043551df5193ef11bbfac67916,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c
kmDAI/AAVE-LINK,0x1f3f5da521f9a88cad77f224d2a8074908c84ea2,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmSUSHI/LINK-LINK,0xe0827475a1e635654bba58ee252a85d00ecbc13e,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmWETH/WBTC-LINK,0x4d265c6d3ee3b770167719834905e927e21dcf6e,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmLINK/USDT-LINK,0x3979a1bc43b841600dd6cd4378673bb89091bee8,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
